Transaction ID,Segment,Revenue
362311257,granify,19.95
364822579,granify,224.9
367040987,granify,89.18
367521817,granify,175.77
367521819,granify,39.98
367521821,granify,23.95
367521823,granify,175.77
367521825,granify,122.59
367521827,granify,175.77
367521829,granify,33.68
367521831,granify,119
367521833,granify,82.71
367521835,granify,149.75
367521839,granify,149.9
367521841,granify,64.98
367521843,granify,175.77
367521847,baseline,150.08
367521849,granify,27.13
367521851,granify,593.31
367521853,granify,210.99
367521855,granify,55.45
367521857,baseline,23.95
367521859,granify,99.9
367521861,granify,19.95
367521863,baseline,27.9
367521865,granify,53.1
367521867,granify,82.71
367521869,granify,175.77
367521871,baseline,66.4
367521873,granify,199.99
367521875,granify,77
367521877,granify,199.99
367521879,baseline,69.9
367521881,granify,82
367521883,granify,155.08
367521885,granify,199.99
367521887,baseline,252.7
367521889,granify,1701.24
367521891,granify,19.95
367521893,granify,759.9
367521895,baseline,150.08
367521897,granify,155.08
367521899,granify,175.77
367521901,granify,119.98
367521903,granify,36.95
367521905,granify,82.71
367521907,granify,144.9
367521909,granify,24.95
367521911,granify,56
367521913,granify,340.6
367521915,granify,82.71
367521917,granify,179.99
367521919,granify,44.9
367521921,granify,67.9
367521923,granify,155.08
367521925,granify,29
367521927,granify,129
367521929,granify,82.75
367521931,granify,175.77
367521935,granify,297.16
367521937,baseline,150.08
367521939,granify,155.08
367521941,granify,38.5
367521943,granify,119.46
367521945,granify,56.75
367521947,granify,216.44
367521949,granify,82.71
367521951,granify,10.47
367521953,baseline,840.75
367521955,granify,31.95
367521957,granify,41.53
367521959,granify,191.32
367521961,granify,175.77
367521963,granify,175.77
367521967,granify,155.08
367521969,granify,199.99
367521973,granify,56.75
367521975,granify,760.14
367521977,baseline,174.98
367521979,granify,77.71
367521981,granify,199.9
367521983,granify,274.99
367521985,granify,175.77
367521987,granify,61.75
367521989,granify,139.8
367521991,granify,53
367521993,granify,103.25
367521995,granify,44.25
367521997,granify,39.72
367521999,granify,102.19
367522001,granify,179.41
367522003,granify,69.98
367522005,granify,48.98
367522007,baseline,150.08
367522009,granify,71.3
367522011,baseline,174.98
367522015,granify,155.08
367522017,granify,70.99
367522019,granify,89.98
367522021,baseline,155.08
367522023,granify,335.07
367522025,granify,38
367522027,granify,150.08
367522029,granify,109.17
367522031,granify,397.99
367522033,granify,399.99
367522035,granify,155.08
367522037,granify,175.77
367522039,granify,33.99
367522041,granify,44.9
367522043,baseline,89.95
367522045,granify,109.98
367522049,granify,948.93
367522051,granify,150.08
367522053,granify,155.08
367522055,baseline,82.71
367522057,granify,139.96
367522061,granify,8.84
367522063,granify,199.99
367522065,granify,36.25
367522067,granify,174.99
367522069,granify,225.06
367522071,granify,46.08
367522073,granify,458
367522077,granify,70.99
367522079,granify,155.08
367522081,granify,150.08
367522085,granify,155.08
367522087,granify,98.13
367522089,baseline,55.37
367522091,granify,24.67
367522093,granify,59.99
367522095,granify,155.08
367522097,baseline,64.98
367522099,granify,155.08
367522101,granify,62.25
367522105,granify,155.08
367522107,granify,58.17
367522109,baseline,155.08
367522111,granify,199.99
367522113,baseline,52
367522115,baseline,102.7
367522117,granify,53.25
367522119,granify,82.71
367522121,granify,150.08
367522123,granify,47.95
367522125,granify,69.98
367522127,granify,155.08
367522129,granify,155.08
367522131,baseline,64.98
367522135,granify,39
367522137,granify,225.06
367522139,granify,15.59
367522141,granify,310.16
367522143,granify,114.5
367522145,granify,154
367522147,granify,64.98
367522151,granify,155.08
367522153,baseline,729.9
367522155,granify,155.08
367522157,granify,110
367522159,granify,72.67
367522163,granify,50.99
367522165,granify,245.06
367522169,granify,12.95
367522171,granify,26.99
367522173,granify,155.08
367522175,granify,79.95
367522177,granify,279.99
367522179,granify,16.41
367522181,granify,155.08
367522183,granify,155.08
367522185,granify,149.96
367522187,granify,28
367522189,granify,20
367522191,baseline,169.98
367522193,granify,23.97
367522195,granify,155.08
367522197,granify,119.99
367522199,granify,62.15
367522201,granify,243.63
367522203,granify,155.08
367522205,granify,69.98
367522207,granify,112.5
367522209,granify,150.08
367522211,granify,31
367522213,granify,29.95
367522215,granify,215.06
367522217,granify,155.08
367522219,granify,155.08
367522221,granify,175.77
367522223,granify,113.72
367522225,granify,40.96
367522227,granify,69.98
367522229,granify,205.06
367522231,baseline,174.1
367522233,baseline,64.98
367522235,granify,101.61
367522237,baseline,155.08
367522239,granify,49.99
367522241,granify,75
367522243,granify,69.98
367522245,baseline,225.06
367522247,granify,322.25
367522249,granify,260.48
367522251,granify,759.64
367522253,baseline,114.91
367522257,granify,169.98
367522259,granify,89.98
367522263,granify,155.08
367522265,granify,155.08
367522267,granify,155.08
367522269,granify,158
367522271,granify,169.96
367522273,granify,139.9
367522275,granify,58.89
367522277,granify,155.08
367522279,granify,397.83
367522281,granify,69.98
367522283,granify,155.08
367522285,granify,155.08
367522287,granify,49
367522291,granify,155.08
367522293,baseline,56.5
367522295,granify,69.98
367522297,granify,64.98
367522299,baseline,23.95
367522303,baseline,31.96
367522305,granify,499.99
367522307,granify,72.67
367522309,granify,155.08
367522311,granify,82.71
367522315,granify,34.99
367522317,granify,24.95
367522319,granify,84
367522321,granify,55.98
367522323,granify,56
367522325,granify,13.39
367522327,granify,82
367522329,granify,155.08
367522331,granify,27.25
367522333,baseline,82.71
367522337,granify,155.08
367522339,granify,150.08
367522341,baseline,150.08
367522345,granify,69.98
367522347,granify,174
367522349,granify,599.99
367522351,granify,155.08
367522353,granify,199.99
367522355,granify,155.08
367522357,granify,126
367522359,granify,21.2
367522363,granify,89.98
367522365,granify,39.98
367522371,granify,21.95
367522373,granify,225.06
367522375,granify,155.08
367522377,granify,425.04
367522379,granify,10.63
367522381,granify,495.02
367522383,granify,155.08
367522385,granify,27.26
367522387,granify,49.98
367522389,granify,69.98
367522391,granify,89.98
367522395,granify,56
367522397,granify,150.52
367522399,granify,155.08
367522401,granify,175.77
367522405,granify,18
367522407,granify,52.95
367522409,granify,155.08
367522411,baseline,155.08
367522413,baseline,164.98
367522415,granify,50.95
367522417,baseline,84.98
367522419,granify,229.94
367522421,granify,169.96
367522423,granify,69.98
367522425,granify,64.98
367522427,baseline,155.08
367522429,granify,132.25
367522431,granify,155.08
367522433,granify,155.08
367522435,baseline,155.08
367522437,granify,75.5
367522443,granify,17.95
367522445,granify,60
367522447,granify,16.95
367522451,granify,155.08
367522453,granify,69.98
367522455,granify,84.98
367522457,baseline,154.98
367522459,granify,57.6
367522461,granify,349.96
367522463,baseline,155.08
367522465,granify,255.06
367522467,granify,99.98
367522469,granify,29.95
367522471,granify,290.04
367522473,granify,245.06
367522475,granify,155.08
367522477,granify,34.99
367522479,granify,49.9
367522481,granify,56.75
367522483,granify,103.28
367522485,granify,274.98
367522487,granify,179.98
367522489,granify,415.02
367522491,granify,335.06
367522495,granify,398
367522499,granify,155.08
367522501,granify,155.08
367522505,granify,155.08
367522507,granify,89.98
367522509,granify,36.8
367522511,granify,69.98
367522513,baseline,25.25
367522515,granify,169.96
367522517,granify,44.99
367522519,granify,108.1
367522521,baseline,345.04
367522523,granify,20.69
367522527,granify,29.95
367522529,baseline,59.98
367522531,granify,155.08
367522533,granify,155.08
367522537,granify,225.06
367522539,granify,27.99
367522541,granify,150.08
367522543,granify,19.96
367522545,granify,99.98
367522549,granify,69.98
367522551,baseline,69.98
367522553,baseline,199.99
367522555,granify,19.95
367522557,granify,51.2
367522559,granify,32.1
367522563,granify,22
367522565,granify,124.75
367522567,granify,139.96
367522569,granify,150.08
367522571,granify,19.95
367522573,granify,325.04
367522575,baseline,155.08
367522577,baseline,729.98
367522579,granify,155.08
367522581,granify,155.08
367522583,granify,155.08
367522585,baseline,225.06
367522587,granify,92.75
367522589,granify,155.08
367522591,granify,82.71
367522593,granify,25.75
367522595,granify,50.99
367522597,baseline,59.98
367522599,granify,222.94
367522601,granify,245.06
367522603,baseline,41.48
367522607,baseline,150.08
367522609,granify,155.08
367522611,granify,69.98
367522613,granify,155.08
367522615,granify,38.99
367522617,granify,91.45
367522619,baseline,199.73
367522621,baseline,155.08
367522623,granify,155.08
367522625,granify,46.53
367522627,granify,184.13
367522629,granify,64.98
367522631,baseline,155.08
367522635,baseline,112.28
367522639,granify,107
367522641,granify,40.14
367522645,granify,155.08
367522647,granify,99.87
367522649,granify,69.98
367522651,granify,89.98
367522653,granify,369.94
367522655,granify,25
367522657,granify,69.98
367522659,granify,269.96
367522661,baseline,38
367522661,granify,38
367522663,granify,42.74
367522665,granify,61.25
367522669,granify,31.5
367522671,granify,76.49
367522673,granify,83.7
367522677,granify,69.98
367522679,baseline,179.98
367522681,granify,39.98
367522683,granify,79.9
367522685,granify,69.98
367522687,baseline,33.2
367522689,granify,109.7
367522691,granify,331.7
367522695,granify,150.08
367522697,granify,225.06
367522699,granify,225.06
367522701,baseline,34.95
367522703,granify,93.98
367522705,granify,155.08
367522707,granify,155.08
367522709,granify,415.02
367522711,granify,142.95
367522715,granify,19.95
367522717,baseline,123.98
367522719,granify,369.94
367522721,granify,44.98
367522723,granify,81.84
367522725,granify,68.22
367522729,granify,17.8
367522731,granify,61.25
367522733,granify,49.6
367522735,granify,369.95
367522737,granify,55.45
367522739,granify,38.99
367522741,granify,319.99
367522743,granify,69.98
367522745,granify,99
367522747,granify,415.02
367522749,granify,268.74
367522751,baseline,69.98
367522753,granify,82.98
367522755,granify,275.98
367522757,granify,49.99
367522759,granify,229.98
367522765,granify,69.98
367522767,granify,159.96
367522769,granify,349.99
367522771,granify,42.4
367522773,granify,69.98
367522775,granify,35
367522779,granify,214.69
367522781,granify,155.08
367522783,granify,69.98
367522785,granify,245.06
367522787,granify,155.08
367522789,granify,76
367522791,granify,155.08
367522793,granify,150.4
367522795,granify,199
367522797,granify,274.77
367522799,granify,79.98
367522801,granify,69.98
367522803,granify,23
367522805,granify,263.75
367522807,baseline,69.98
367522809,granify,69.98
367522811,granify,46.53
367522813,granify,84
367522815,baseline,425.04
367522817,granify,179.98
367522819,granify,64.98
367522821,baseline,58.25
367522823,granify,79.98
367522825,baseline,69.98
367522827,granify,345.04
367522831,granify,24.15
367522833,baseline,179.98
367522835,granify,20
367522837,granify,179.98
367522839,granify,379.56
367522841,granify,25.6
367522845,granify,175.77
367522847,granify,79.95
367522849,baseline,179.98
367522851,granify,71.7
367522853,granify,99.98
367522855,granify,34.95
367522857,granify,69.98
367522859,granify,155.08
367522861,granify,279.77
367522865,granify,69.98
367522867,granify,34.74
367522869,granify,155.08
367522871,granify,310.04
367522873,granify,664.98
367522877,granify,51.45
367522879,baseline,575
367522881,granify,69.98
367522883,granify,94.98
367522885,granify,155.08
367522887,granify,89.98
367522889,granify,123.24
367522891,granify,155.08
367522893,granify,380.02
367522895,granify,49.99
367522897,granify,335.06
367522899,granify,29.95
367522901,granify,69.98
367522903,baseline,99.98
367522905,baseline,179.98
367522907,granify,79.98
367522909,granify,69.98
367522911,granify,69.98
367522913,granify,99.95
367522915,granify,24.95
367522917,granify,41.53
367522919,granify,56.75
367522921,granify,39
367522923,granify,155.08
367522925,granify,64.98
367522927,granify,509.9
367522931,granify,24.98
367522933,granify,69.98
367522935,granify,89.98
367522937,granify,155.08
367522939,granify,245.06
367522943,granify,269.96
367522945,granify,41
367522947,granify,555
367522949,granify,52.5
367522951,granify,123.24
367522953,granify,179.1
367522955,granify,33
367522957,granify,19.27
367522959,granify,99.98
367522963,baseline,155.08
367522965,granify,69.98
367522967,granify,175.77
367522969,granify,155.08
367522971,granify,179.98
367522973,granify,127.82
367522975,baseline,49.99
367522977,granify,179.99
367522979,granify,209.98
367522981,granify,255.06
367522983,granify,179.98
367522985,granify,179.98
367522987,granify,225.06
367522989,granify,27.95
367522993,granify,16.95
367522995,granify,159.3
367522997,granify,39.95
367522999,granify,69.98
367523001,baseline,155.08
367523003,granify,23.93
367523005,granify,69.98
367523007,granify,69.98
367523009,granify,219.98
367523011,granify,179.98
367523013,granify,67.25
367523015,granify,53.12
367523017,granify,52.95
367523019,granify,248.98
367523021,baseline,89.98
367523023,granify,99.98
367523025,granify,89.98
367523027,granify,69.98
367523029,baseline,79.98
367523031,granify,64.98
367523033,granify,175.77
367523035,granify,55.94
367523037,granify,64.9
367523039,granify,279.96
367523043,granify,269.98
367523045,granify,155.08
367523049,granify,83.1
367523051,granify,155.08
367523053,granify,235.06
367523055,granify,258.48
367523057,granify,43.21
367523059,granify,204.98
367523061,granify,89.98
367523063,granify,155.08
367523065,baseline,179.98
367523067,granify,31.95
367523069,granify,155.08
367523071,granify,69.98
367523073,granify,379.96
367523075,granify,103.99
367523077,granify,19.92
367523079,granify,155.08
367523081,granify,239.67
367523083,granify,155.08
367523085,granify,99.98
367523087,granify,61.5
367523089,baseline,336.71
367523091,granify,179.98
367523093,baseline,415.02
367523095,granify,134.96
367523097,granify,322.69
367523099,granify,69.98
367523101,granify,87.75
367523103,granify,126.99
367523105,baseline,124.98
367523107,granify,225.06
367523109,granify,903
367523111,baseline,69.98
367523113,granify,154.99
367523115,granify,35.2
367523117,granify,89.98
367523119,granify,307.98
367523121,granify,179.98
367523125,granify,269.96
367523127,granify,114.98
367523129,granify,99.98
367523131,granify,149.96
367523133,granify,69.98
367523135,granify,189.96
367523137,granify,150.08
367523139,granify,42.4
367523141,baseline,179.98
367523143,granify,155.08
367523145,granify,64.98
367523147,granify,84.98
367523149,granify,57.25
367523151,granify,179.98
367523153,granify,150.08
367523155,granify,29.98
367523157,granify,49.99
367523159,baseline,124.98
367523161,granify,525.02
367523163,granify,525.02
367523165,baseline,179.98
367523169,granify,89.98
367523171,granify,59.95
367523173,granify,155.08
367523175,granify,80.19
367523177,granify,69.98
367523179,granify,69.98
367523181,granify,315.04
367523183,granify,179.98
367523185,granify,255.06
367523187,granify,24.92
367523189,granify,155.08
367523191,baseline,39.75
367523193,granify,99.98
367523195,granify,175.69
367523197,granify,27.98
367523199,granify,345.04
367523201,granify,59.95
367523203,granify,179.98
367523205,granify,149.96
367523207,granify,99.55
367523209,granify,99.98
367523211,granify,69.98
367523213,granify,1179.92
367523217,granify,25.75
367523221,baseline,55
367523223,granify,598.9
367523225,granify,69.98
367523227,granify,69.98
367523229,granify,89.98
367523231,baseline,39.98
367523233,granify,69.98
367523235,granify,69.98
367523237,granify,269.96
367523239,granify,99.98
367523241,granify,150.08
367523243,granify,159.96
367523245,baseline,18.9
367523247,granify,255.06
367523249,granify,174.98
367523251,granify,64.98
367523253,baseline,36
367523255,granify,155
367523257,granify,33.99
367523259,granify,39.8
367523261,granify,69.98
367523263,baseline,79.98
367523267,baseline,179.99
367523269,baseline,505.02
367523271,granify,179.98
367523273,granify,17.62
367523275,granify,94.98
367523277,granify,169.96
367523279,granify,274.98
367523281,granify,101.61
367523283,granify,16.17
367523285,baseline,79.98
367523287,granify,56.75
367523289,granify,69.98
367523293,granify,99.99
367523295,granify,459
367523297,baseline,89.9
367523299,granify,82.14
367523301,granify,69.98
367523303,granify,919.92
367523305,granify,179.98
367523307,granify,39.98
367523309,baseline,39.98
367523311,granify,99.98
367523315,baseline,44.5
367523317,granify,179.98
367523319,granify,189.96
367523321,baseline,84.98
367523323,granify,69.98
367523325,granify,259.94
367523329,granify,155.08
367523331,granify,39.98
367523333,granify,84.98
367523337,baseline,435.04
367523339,granify,109.98
367523341,granify,40.62
367523343,granify,119.96
367523345,granify,155.08
367523347,granify,89.98
367523349,baseline,334.94
367523351,granify,15.46
367523353,granify,19.95
367523355,granify,49.99
367523357,granify,129.95
367523359,baseline,595
367523361,granify,139.74
367523363,granify,155.08
367523365,granify,33.99
367523367,granify,94.98
367523369,granify,155.08
367523371,granify,179.98
367523373,granify,109.98
367523377,granify,269.96
367523379,granify,86.48
367523381,granify,154.96
367523383,granify,155.08
367523385,granify,94.98
367523387,baseline,174.98
367523389,granify,92.93
367523391,granify,155.08
367523393,granify,126.86
367523395,granify,150.08
367523397,granify,34
367523401,baseline,64.98
367523403,granify,69.98
367523407,granify,99.99
367523409,granify,189.96
367523411,granify,49.99
367523413,granify,155.08
367523415,granify,109.98
367523419,granify,150.08
367523421,granify,69.98
367523423,baseline,104.98
367523425,granify,211.06
367523427,granify,155.08
367523429,granify,485.02
367523431,granify,49.99
367523433,granify,155.08
367523435,granify,25
367523439,granify,94.98
367523441,granify,169.96
367523445,granify,44.98
367523447,granify,174.98
367523449,granify,69.98
367523451,granify,238
367523453,granify,53.6
367523455,granify,49.95
367523457,granify,155.08
367523459,granify,155.08
367523461,granify,82.71
367523463,granify,44.99
367523465,granify,66.59
367523467,granify,54.96
367523469,granify,28
367523471,granify,115.94
367523473,baseline,74.98
367523475,granify,83.1
367523477,granify,64.98
367523479,granify,36.99
367523481,granify,109.98
367523485,baseline,77.82
367523487,granify,69.98
367523491,baseline,104.98
367523493,granify,64.98
367523499,granify,28.9
367523501,granify,64.98
367523503,granify,69.98
367523505,granify,73.5
367523507,granify,315.25
367523509,granify,458
367523511,granify,169.98
367523513,granify,17.95
367523515,granify,295.04
367523517,granify,149.98
367523519,granify,69.98
367523521,granify,115.25
367523523,granify,499.99
367523525,granify,179.98
367523527,granify,64.98
367523533,baseline,164.98
367523535,granify,27.95
367523539,granify,154.98
367523541,baseline,291.63
367523543,granify,14.95
367523545,granify,41.49
367523549,baseline,78.9
367523551,granify,175.77
367523553,granify,99.98
367523555,baseline,39.98
367523557,granify,806.13
367523559,granify,124.99
367523561,baseline,69.98
367523563,granify,175.77
367523565,baseline,164.98
367523567,granify,27.87
367523571,granify,249.96
367523573,granify,119.99
367523575,granify,99.99
367523577,granify,99.99
367523579,baseline,94.98
367523581,granify,191.5
367523583,granify,48.82
367523585,granify,175.77
367523587,granify,23
367523591,granify,150.08
367523593,granify,98.25
367523595,granify,53.98
367523597,granify,194.94
367523599,granify,69.98
367523601,granify,33.99
367523603,granify,605
367523605,granify,225.84
367523607,baseline,44.98
367523609,granify,15
367523611,granify,150.08
367523613,granify,429.99
367523617,baseline,245.06
367523621,granify,56.75
367523623,granify,69.98
367523625,granify,20.87
367523627,baseline,164.98
367523629,granify,9.32
367523631,granify,169.98
367523633,granify,947.88
367523635,granify,69.98
367523637,granify,69.98
367523639,granify,39.95
367523641,granify,54.75
367523643,granify,19.95
367523645,granify,179.99
367523647,granify,41.35
367523649,granify,19.99
367523651,granify,55.98
367523653,granify,79.98
367523655,granify,11.94
367523657,baseline,164.98
367523659,granify,82.71
367523661,granify,44.98
367523665,granify,21.81
367523667,granify,44.98
367523669,granify,44
367523675,granify,89.75
367523677,granify,89.98
367523679,granify,84.98
367523681,granify,19.27
367523685,granify,49.9
367523689,granify,199
367523691,granify,15.54
367523693,granify,84.98
367523695,granify,84.98
367523697,granify,89.98
367523699,granify,259.98
367523701,baseline,50.99
367523703,granify,99.99
367523705,granify,15
367523707,granify,43.21
367523709,granify,36.95
367523711,granify,23.95
367523713,granify,155.08
367523715,granify,2233.68
367523717,granify,155.08
367523719,granify,349.99
367523721,granify,84.98
367523723,granify,135.21
367523725,baseline,329.94
367523727,granify,49.99
367523729,baseline,169.98
367523731,granify,84.98
367523733,granify,36.99
367523735,granify,49.99
367523737,granify,39.98
367523739,granify,59.43
367523741,granify,15
367523745,baseline,84.98
367523747,baseline,62
367523749,granify,119.25
367523751,granify,46.53
367523753,granify,82.75
367523755,granify,325.06
367523757,granify,155.08
367523759,baseline,44.98
367523761,granify,175.77
367523763,granify,74.98
367523765,granify,155.08
367523767,granify,28
367523769,baseline,109.99
367523771,granify,69.98
367523773,granify,28.86
367523775,granify,159.98
367523777,granify,29.95
367523779,granify,174.98
367523781,granify,20.87
367523783,granify,69.98
367523789,granify,15
367523791,granify,155.08
367523795,granify,39.18
367523797,granify,85.99
367523799,granify,94
367523801,granify,49.99
367523803,granify,89.98
367523807,granify,344.73
367523809,granify,84.98
367523813,granify,15
367523815,granify,234.96
367523817,granify,99.99
367523819,granify,279.98
367523823,baseline,169.98
367523825,granify,144.98
367523827,granify,106.96
367523829,granify,558.98
367523831,granify,33.99
367523833,granify,189.55
367523835,granify,149.99
367523837,granify,84.98
367523839,granify,19.9
367523841,granify,89.98
367523843,baseline,39.98
367523845,granify,414.92
367523849,granify,33.75
367523851,granify,74.98
367523853,granify,19.27
367523857,granify,47.13
367523859,granify,64.98
367523861,granify,64.98
367523863,granify,345.04
367523867,granify,144.23
367523869,granify,23
367523871,granify,244.96
367523875,granify,84.98
367523877,granify,17.95
367523879,granify,84.98
367523881,granify,63.26
367523883,granify,175.77
367523885,granify,392.69
367523887,granify,93.5
367523893,granify,22.99
367523895,granify,142.6
367523897,granify,16.67
367523899,granify,179.98
367523901,granify,79.98
367523903,granify,99.98
367523905,baseline,53.38
367523909,granify,199.95
367523911,granify,53.94
367523913,granify,74.98
367523915,granify,119.98
367523917,granify,758.93
367523919,granify,107.25
367523921,granify,84.98
367523923,granify,99.99
367523925,granify,47.54
367523927,granify,255.06
367523929,granify,187.49
367523931,granify,69.98
367523933,granify,155.08
367523937,granify,15
367523939,granify,89.98
367523941,granify,329.94
367523943,granify,175.89
367523945,granify,155.08
367523947,granify,39.9
367523949,granify,315.04
367523951,granify,14.8
367523953,granify,70.99
367523955,granify,19.98
367523957,granify,230.06
367523961,granify,56.75
367523963,granify,155.08
367523965,granify,99.98
367523967,baseline,53
367523969,granify,154.96
367523971,baseline,99.99
367523973,baseline,84.98
367523975,granify,20.65
367523977,granify,155.08
367523983,granify,179.99
367523985,baseline,84.98
367523989,granify,36.95
367523991,baseline,55.82
367523993,granify,77.94
367523995,granify,109.98
367523997,granify,99.98
367523999,granify,595
367524001,granify,169.98
367524003,granify,179.98
367524005,granify,179.98
367524007,granify,296.95
367524009,granify,19.95
367524011,baseline,74.37
367524013,baseline,31.95
367524015,granify,99.99
367524017,baseline,225.06
367524019,granify,165.25
367524021,baseline,89.98
367524023,granify,69.98
367524027,granify,96.03
367524029,granify,38.57
367524033,granify,109.98
367524035,granify,84.98
367524037,granify,44.98
367524039,granify,69.98
367524041,granify,540.1
367524043,granify,44.98
367524045,granify,109.98
367524047,granify,99.98
367524049,granify,269.96
367524051,granify,44
367524053,granify,19.99
367524055,granify,81.75
367524057,granify,99.99
367524061,granify,99.99
367524063,granify,109.98
367524065,granify,154.98
367524067,granify,23
367524069,granify,24.9
367524071,granify,109.98
367524073,granify,124.69
367524075,baseline,139.5
367524077,granify,155.08
367524079,granify,175.77
367524081,baseline,155.08
367524083,baseline,74.98
367524085,granify,159.96
367524087,granify,61.9
367524089,baseline,31.95
367524091,baseline,239.22
367524093,granify,118.89
367524095,granify,59.81
367524099,baseline,144.75
367524101,granify,88.96
367524103,granify,16.49
367524105,granify,586.75
367524107,granify,16.49
367524109,granify,29
367524111,granify,46.78
367524113,granify,23.95
367524115,granify,49.95
367524117,baseline,104.98
367524119,granify,99.99
367524121,granify,19.95
367524125,granify,43.99
367524127,granify,154.96
367524129,baseline,169.98
367524131,granify,434.9
367524133,granify,49.5
367524137,granify,72.24
367524139,granify,154.98
367524143,granify,49.99
367524145,granify,56.75
367524147,granify,175.77
367524149,granify,435.04
367524151,granify,39.99
367524153,granify,69.9
367524155,granify,144.75
367524157,granify,150.08
