browser,browser_version,revenue_flag_flagged,revenue_flag_nf,diff
Firefox,72,12.578616,2.388954,10.189663
Mobile Safari,12,5.450734,4.021365,1.429369
Safari,13,11.111111,10.169492,0.94162
Chrome,75,1.257862,0.420482,0.83738
Mobile Chrome,78,1.257862,0.717579,0.540283
Samsung Browser,11,0.628931,0.247581,0.38135
Chrome,78,0.628931,0.253263,0.375668
Edge,17,0.419287,0.178583,0.240704
Firefox,53,0.209644,0.001623,0.20802
Chrome,81,0.209644,0.009741,0.199903
Firefox,68,0.209644,0.035717,0.173927
Mobile Chrome,72,0.209644,0.057634,0.15201
Chrome,71,0.209644,0.067375,0.142269
Mobile Chrome,74,0.419287,0.335249,0.084038
Samsung Browser,9,0.209644,0.127443,0.0822
Chrome,77,0.209644,0.146113,0.06353
Mobile Safari (App),11,0.209644,0.230534,-0.020891
Mobile Safari,10,0.628931,0.699721,-0.07079
Chrome,80,5.24109,5.340444,-0.099354
Mobile Safari,11,0.628931,0.763848,-0.134917
Safari,11,0.209644,0.357166,-0.147522
Mobile Chrome,77,0.209644,0.3872,-0.177557
Mobile Safari,9,0.209644,0.465939,-0.256296
Safari,12,0.209644,0.496786,-0.287142
Chrome,79,10.272537,10.854601,-0.582064
Samsung Browser,10,1.048218,1.733879,-0.685661
Mobile Chrome,54,0.419287,1.25414,-0.834853
Mobile Safari (App),12,1.257862,2.146243,-0.888382
Mobile Chrome,80,5.24109,6.204948,-0.963858
Edge,18,6.289308,7.350315,-1.061007
Mobile Chrome,79,9.224319,10.967433,-1.743114
Mobile Safari,13,7.127883,10.604585,-3.476702
Mobile Safari (App),13,10.48218,14.487142,-4.004962
